Number,  Location,  Area,  Price,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
1,Kinyinya,25/35 m,55 000 000  Rwf,4.0,1.0,,,,Yes,Yes
2,Gacuriro, sqm,180 000 000  Rwf,4.0,4.0,,,Yes,,
3,Kabeza,25/30 m,45 000 000  Rwf,4.0,3.0,,,,,
4,, sqm,8 500 000  Rwf,3.0,,,,,,
5,Kimironko, sqm,28 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
6,,20/30 m,42 000 000  Rwf,,,,,,,
7,Karumuna,35/30 m,50 000 000  Rwf,4.0,3.0,,,,,
8,Rebero,545 sqm,22 000 000  Rwf,4.0,1.0,,,,,
9,,600 sqm,45 000 000  Rwf,4.0,4.0,,,Yes,,Yes
10,Kimironko, sqm,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
11,Kimironko,25/30 m,150 000 000  Rwf,4.0,3.0,,,,,
12,Masaka,25/30 m,45 000 000  Rwf,,1.0,,,,Yes,Yes
13,Kicukiro, sqm,75 000 000  Rwf,6.0,3.0,,,,Yes,Yes
14,,25/20 m,38 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
15,Gisozi,20/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
16,Kimironko,25/30 m,150 000 000  Rwf,5.0,3.0,,,,Yes,Yes
17,Kicukiro, sqm,90 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
18,Gasogi, sqm,10 000 000  Rwf,,,,,,,Yes
19,Niboyi, sqm,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
20,Kanombe,25/30 m,45 000 000  Rwf,4.0,3.0,,,,Yes,Yes
21,,22/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,
22,Kibagabaga,25/25 m,120 000 000  Rwf,,1.0,,,,Yes,Yes
23,Kimironko, sqm,55 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
24,Karuruma, sqm,45 000 000  Rwf,4.0,3.0,,Yes,,,
25,Rusororo,30/30 m,95 000 000  Rwf,4.0,4.0,,,,Yes,
26,Kimironko, sqm,50 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
27,Kimironko, sqm,68 000 000  Rwf,4.0,3.0,,Yes,,,
28,Kicukiro,25/30 m,75 000 000  Rwf,5.0,3.0,,,,Yes,Yes
29,Kanombe, sqm,45 000 000  Rwf,4.0,3.0,,,,,Yes
30,Kanombe, sqm,55 000 000  Rwf,4.0,3.0,,Yes,,,
31,Kanombe,30/25 m,60 000 000  Rwf,4.0,3.0,,,,Yes,Yes
32,, sqm,130 000 000  Rwf,4.0,3.0,,Yes,,Yes,
33,, sqm,70 000 000  Rwf,4.0,4.0,Yes,Yes,Yes,Yes,
34,Gacuriro,25/30 m,40 000 000  Rwf,,,,,,,
35,Kanombe, sqm,47 000 000  Rwf,4.0,3.0,,,,Yes,Yes
36,Nyarutarama,30/25 m,350 000 000  Rwf,7.0,6.0,Yes,,,Yes,Yes
37,Kibagabaga,30/40 m, 2 500 $,5.0,5.0,,,,Yes,Yes
38,,25/30 m,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
39,Kicukiro,35/30 m,160 000 000  Rwf,5.0,4.0,,,,Yes,Yes
40,,25 sqm,26 000 000  Rwf,4.0,3.0,,,,Yes,Yes
41,Kanombe,25/30 m,65 000 000  Rwf,,1.0,,,,Yes,Yes
42,Gisozi,15/20 m,12 000 000  Rwf,,1.0,,,,,
43,Remera, sqm,110 000 000  Rwf,4.0,3.0,,,Yes,Yes,
44,Kanombe,20/30 m,10 000 000  Rwf,4.0,0.0,,,,Yes,Yes
45,Kabeza, sqm,35 000 000  Rwf,4.0,3.0,,Yes,,,
46,Masaka,20/30 m,nan Negotiable,,,,,,,
47,,30/20 m,120 000 000  Rwf,4.0,3.0,,Yes,,Yes,Yes
48,Kabuga, sqm,15 000 000  Rwf,4.0,3.0,,Yes,,,
49,Kanombe, sqm,100 000 000  Rwf,4.0,3.0,,,,Yes,Yes
50,Kicukiro,20/30 m,55 000 000  Rwf,4.0,4.0,,,,,
51,Gikondo, sqm,52 000 000  Rwf,,,,,,,
52,Kicukiro,25/25 m,100 000 000  Rwf,5.0,3.0,,,,Yes,Yes
53,Kiyovu,3338 sqm,350 000 000  Rwf,5.0,2.0,,Yes,,Yes,
54,Kimironko,25/30 m,55 000 000  Rwf,4.0,3.0,,,,,
55,Niboye,25/30 m,75 000 000  Rwf,4.0,3.0,,,,Yes,Yes
56,,30/20 m,70 000 000  Rwf,4.0,3.0,,,,,
57,Kibagabaga,30/30 m,150 000 000  Rwf,5.0,4.0,,,,Yes,Yes
58,Karuruma, sqm,90 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
59,, sqm,25 000 000  Rwf,4.0,2.0,,,,Yes,
60,,750 sqm,25 000 000  Rwf,4.0,1.0,,,,,Yes
61,Gikondo, sqm,35 000 000  Rwf,4.0,2.0,,Yes,,,
62,Kibagabaga, sqm,50 000 000  Rwf,,,,,,,
63,Gikondo,20/30 m,55 000 000  Rwf,4.0,3.0,,,,,
64,Kanombe, sqm,30 000 000  Rwf,4.0,3.0,,Yes,,,
65,,1200 sqm,22 000 000  Rwf,5.0,2.0,,,Yes,,Yes
66,Gkondo, sqm,70 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
67,Kabeza,20/20 m,47 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
68,Kanombe,25/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
69,Gisozi,20/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
70,Kanombe, sqm,41 000 000  Rwf,4.0,2.0,Yes,,,,
71,Trade,6 sqm, 6 $,,,,,,Yes,
72,,25 sqm,10 000 000  Rwf,,,,,,,
73,Kagarama, sqm,70 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
74,Gacuriro,20/30 m,250 000 000  Rwf,6.0,5.0,,,,,
75,, sqm,8 500 000  Rwf,3.0,1.0,,,,Yes,
76,Kanombe, sqm,49 000 000  Rwf,4.0,3.0,,Yes,,,
77,Kimironko, sqm,55 000 000  Rwf,4.0,3.0,,Yes,,,
78,Kanombe, sqm,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
79,Kanombe,25/20 m,52 000 000  Rwf,4.0,3.0,,,,Yes,Yes
80,Kibagabaga,30/30 m,130 000 000  Rwf,4.0,4.0,,,,Yes,Yes
81,Kabeza, sqm,90 000 000  Rwf,5.0,3.0,Yes,,Yes,Yes,
82,,20/16 m,6 000 000  Rwf,3.0,,,,,,
83,Nyamata,30/30 m,25 000 000  Rwf,4.0,3.0,,,,,
84,Kibagabaga,25/30 m,120 000 000  Rwf,4.0,4.0,,,,Yes,Yes
85,Kimironko,20/30 m,35 000 000  Rwf,4.0,3.0,,,,,
86,Kibagabaga, sqm,110 000 000  Rwf,4.0,3.0,,Yes,,,
87,Kibagabaga,30/25 m,63 000 000  Rwf,5.0,3.0,,,,Yes,Yes
88,Kimironko,24/20 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
89,Gisozi,750 sqm,55 000 000  Rwf,3.0,2.0,,,Yes,,Yes
90,Kibagabaga, sqm,140 000 000  Rwf,4.0,3.0,,Yes,,,
91,Gacuriro,30/25 m,110 000 000  Rwf,4.0,4.0,,,,Yes,Yes
92,Kicukiro,25/30 m,75 000 000  Rwf,4.0,3.0,,,,Yes,Yes
93,Kanombe, sqm,38 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
94,Gikondo, sqm,45 000 000  Rwf,4.0,3.0,,,,Yes,
95,Nyarutarama,30/35 m,450 000 000  Rwf,6.0,5.0,Yes,,,Yes,Yes
96,Rusororo, sqm,80 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
97,Kicukiro,35/30 m,200 000 000  Rwf,6.0,5.0,,,,Yes,Yes
98,Kagarama, sqm,55 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
99,Kimironko,300 sqm,25 000 000  Rwf,4.0,2.0,,,,,
100,Gisozi, sqm,30 000 000  Rwf,3.0,3.0,Yes,Yes,Yes,Yes,Yes
101,Kimironko,24/20 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
102,Kanombe,25/20 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
103,Kagarama,20/30 m,85 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
104,Masaka,2383 sqm,45 000 000  Rwf,4.0,3.0,,Yes,,Yes,
105,Kagarama,20/30 m,65 000 000  Rwf,4.0,1.0,,,,,Yes
106,Kimironko,20/20 m,35 000 000  Rwf,4.0,2.0,,,,Yes,Yes
107,Nyamata, sqm,34 000 000  Rwf,5.0,3.0,,,Yes,,
108,Kibagabaga, sqm,120 000 000  Rwf,5.0,4.0,Yes,Yes,Yes,Yes,Yes
109,Gacuriro,30/30 m,140 000 000  Rwf,6.0,4.0,,,,Yes,Yes
110,Kanombe,25/30 m,53 000 000  Rwf,4.0,3.0,,,,Yes,Yes
111,Kanombe,25/20 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
112,Kimironko, sqm,80 000 000  Rwf,4.0,3.0,,,,Yes,Yes
113,Kanombe,20/30 m,55 000 000  Rwf,4.0,3.0,,,,,Yes
114,Kimironko,25/25 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
115,Zindiro,20/15 m,48 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
116,,600 sqm,45 000 000  Rwf,4.0,3.0,,,,,
117,Kicukiro,20/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
118,Gisozi,25/20 m,42 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
119,Remera, sqm,42 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
120,Kicukiro, sqm,75 000 000  Rwf,4.0,3.0,,,Yes,Yes,
121,Kanombe, sqm,49 000 000  Rwf,4.0,3.0,,Yes,,,
122,Kanombe, sqm,60 000 000  Rwf,4.0,3.0,,Yes,,,
123,Kanombe, sqm,60 000 000  Rwf,4.0,3.0,,,,,
124,Kanombe, sqm,30 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
125,Gahanga,20 sqm,48 000 000  Rwf,5.0,4.0,,,,,
126,Kabeza,20/25 m,40 000 000  Rwf,4.0,3.0,Yes,,,Yes,Yes
127,Kimironko,30/25 m,55 000 000  Rwf,3.0,2.0,Yes,Yes,Yes,Yes,
128,Kanombe,30/20 m,45 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
129,Ndera,999 sqm,218 000 000  Rwf,,,,,,,Yes
130,Kanombe,25/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
131,Kacyiru,20/20 m,60 000 000  Rwf,4.0,2.0,,,,,
132,Gacuriro,20/25 m,80 000 000  Rwf,4.0,3.0,Yes,,,Yes,Yes
133,Kibagabaga,25/30 m,180 000 000  Rwf,,1.0,Yes,,,Yes,Yes
134,Kabeza, sqm,37 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
135,Kibagabaga,35/30 m,150 000 000  Rwf,6.0,4.0,,,,Yes,Yes
136,,30/30 m,45 000 000  Rwf,4.0,2.0,,,,,Yes
137,Gisozi,1300 sqm,235 000 000  Rwf,6.0,6.0,,,,Yes,Yes
138,Kicukiro,25/30 m,160 000 000  Rwf,,1.0,,,,Yes,Yes
139,Kibagabaga,25/30 m,85 000 000  Rwf,5.0,3.0,,,,Yes,Yes
140,Gacuriro, sqm,200 000 000  Rwf,7.0,1.0,Yes,,Yes,Yes,Yes
141,Kicukiro,40/20 m,830 000 000  Rwf,,1.0,,,,,Yes
142,Kimironko,25/20 m,55 000 000  Rwf,4.0,3.0,,,,,
143,Kicukiro,30/35 m,40 000 000  Rwf,4.0,2.0,,,,Yes,Yes
144,Kicukiro,25/30 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
145,Kibagabaga,25/30 m,120 000 000  Rwf,5.0,3.0,,,,Yes,Yes
146,Kibagabaga,25/20 m,50 000 000  Rwf,4.0,2.0,,,,,Yes
147,Kanombe,25/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
148,, sqm,55 000 000  Rwf,3.0,3.0,,Yes,,,
149,Gacuriro,25/30 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
150,Kanombe,25/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
151,Kibagabaga,15/20 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
152,Bibare, sqm,65 000 000  Rwf,,,,,,,
153,Kimironko, sqm,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
154,Ruyenzi,40/30 m,30 000 000  Rwf,4.0,3.0,,,,,
155,Kimihurura,1800 sqm,380 000 000  Rwf,10.0,5.0,,,,Yes,Yes
156,Kibagabaga,25/30 m,75 000 000  Rwf,4.0,3.0,,,,Yes,Yes
157,Kanombe,20/25 m,65 000 000  Rwf,,1.0,,,,Yes,Yes
158,Gasanze, sqm,20 000 000  Rwf,5.0,2.0,,Yes,,,
159,Kanombe,25/30 m,60 000 000  Rwf,4.0,3.0,,,,Yes,Yes
160,Kicukiro, sqm,65 000 000  Rwf,3.0,2.0,,,Yes,Yes,
161,Kibagabaga, sqm, 145 000 $,3.0,3.0,,Yes,,,
162,,30/20 m,95 000 000  Rwf,5.0,3.0,,Yes,,Yes,Yes
163,Kiyovu,3338 sqm,350 000 000  Rwf,5.0,2.0,,Yes,,Yes,
164,Nyamirambo,25/30 m,27 000 000  Rwf,3.0,1.0,Yes,Yes,Yes,Yes,
165,Kanombe,786 sqm,65 000 000  Rwf,,1.0,,Yes,,,
166,Gisozi, sqm,80 000 000  Rwf,5.0,3.0,,,,Yes,Yes
167,Kagarama,30/20 m,50 000 000  Rwf,4.0,3.0,,,,Yes,
168,Kimironko,25/30 m,55 000 000  Rwf,4.0,2.0,,,,Yes,Yes
169,Gisozi,30/25 m,47 000 000  Rwf,4.0,2.0,,,,,
170,Kibagabaga,25/30 m,100 000 000  Rwf,4.0,3.0,,,,Yes,Yes
171,Nyarutarama,30/25 m,350 000 000  Rwf,7.0,6.0,Yes,,,Yes,Yes
172,Kimironko,25/30 m,120 000 000  Rwf,,1.0,,,,Yes,Yes
173,Gishushu,1310 sqm,150 000 000  Rwf,4.0,2.0,,Yes,,Yes,
174,Kimironko,20/30 m,30 000 000  Rwf,4.0,3.0,,,,,
175,Kimironko,30/25 m,65 000 000  Rwf,,1.0,,,,Yes,Yes
176,Kabeza,25/30 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
177,Gacuriro,30/30 m,140 000 000  Rwf,4.0,3.0,,Yes,,Yes,Yes
178,Kimironko, sqm,33 000 000  Rwf,4.0,2.0,Yes,Yes,Yes,Yes,Yes
179,,30/20 m,95 000 000  Rwf,5.0,3.0,,Yes,,Yes,Yes
180,,30/20 m,120 000 000  Rwf,5.0,4.0,,Yes,,Yes,Yes
181,Kinyinya,15/20 m,5 000 000  Rwf,,,,,,,
182,,600 sqm,85 000 000  Rwf,4.0,3.0,,,Yes,,Yes
183,Kiyovu,3338 sqm,350 000 000  Rwf,5.0,2.0,,Yes,,Yes,
184,Kanombe, sqm,33 000 000  Rwf,4.0,3.0,,Yes,,,
185,Gacuriro,30/30 m,300 000 000  Rwf,5.0,5.0,,,,Yes,Yes
186,Kicukiro,25/30 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
187,Kimironko,25/30 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
188,Kigalisibo,20/20 m,55 000 000  Rwf,4.0,2.0,,,,Yes,
189,Kanombe, sqm,28 000 000  Rwf,4.0,3.0,,,,Yes,
190,Kimironko, sqm,55 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
191,Kibagabaga,20/25 m,150 000 000  Rwf,5.0,4.0,Yes,,,Yes,Yes
192,Kanombe,500 sqm,40 000 000  Rwf,4.0,2.0,,,,,
193,Kicukiro, sqm,75 000 000  Rwf,4.0,3.0,,,,,
194,Kicukiro,20/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
195,Kibagabaga,25/25 m,100 000 000  Rwf,,1.0,,,,Yes,Yes
196,Kimironko, sqm,35 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
197,Kanombe,25/25 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
198,Gikondo,30/40 m,200 000 000  Rwf,8.0,6.0,,,,,
199,Kagarama, sqm,50 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
200,Kanombe,25/30 m,45 000 000  Rwf,4.0,3.0,,,,Yes,Yes
201,Gikondo, sqm,36 000 000  Rwf,4.0,3.0,,Yes,,,
202,, sqm,150 000 000  Rwf,4.0,4.0,,,,Yes,Yes
203,,30/20 m,35 000 000  Rwf,4.0,3.0,,Yes,,Yes,Yes
204,Kanombe, sqm,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
205,Kicukiro,25/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
206,Nyarutarama, sqm,140 000 000  Rwf,5.0,4.0,,,,Yes,Yes
207,Gikondo, sqm,30 000 000  Rwf,3.0,2.0,Yes,Yes,Yes,Yes,Yes
208,,20/30 m,15 000 000  Rwf,,,,,,,
209,Kicukiro,30/30 m,100 000 000  Rwf,4.0,3.0,,,,Yes,Yes
210,Kicukiro,25/30 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
211,,30/20 m,70 000 000  Rwf,4.0,3.0,,Yes,,Yes,Yes
212,Kabeza,20/30 m,35 000 000  Rwf,4.0,3.0,,,,Yes,Yes
213,,25/30 m,1 500 000 000  Rwf,,1.0,,,,Yes,Yes
214,Gisozi, sqm,19 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
215,Nyarutarama, sqm,500 000 000  Rwf,11.0,1.0,,,,Yes,
216,Kabeza,30/20 m,55 000 000  Rwf,4.0,3.0,Yes,,,Yes,Yes
217,Kicukiro,35/30 m,160 000 000  Rwf,5.0,4.0,,,,Yes,Yes
218,Kabuga,25/30 m,50 000 000  Rwf,4.0,3.0,,,,,
219,,20/25 m,130 000 000  Rwf,5.0,4.0,,,,Yes,Yes
220,Kanombe,20/30 m,55 000 000  Rwf,4.0,3.0,,,,,
221,Kibagabaga, sqm,35 000 000  Rwf,4.0,3.0,,Yes,,,
222,Kimihura, sqm,35 000 000  Rwf,4.0,3.0,,Yes,,,
223,Kimironko,25/25 m,55 000 000  Rwf,5.0,3.0,,,,Yes,Yes
224,Kanombe,25/35 m,60 000 000  Rwf,4.0,1.0,,,,Yes,Yes
225,Bumbogo,20/30 m,8 500 000  Rwf,,,,,,,
226,Kanombe, sqm,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
227,Kibagabaga,25/30 m,120 000 000  Rwf,4.0,3.0,,,,,Yes
228,Kimironko, sqm,65 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
229,Nyarutarama,30/35 m,450 000 000  Rwf,6.0,5.0,Yes,,,Yes,Yes
230,Kanombe,28/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
231,Kagugu,600 sqm,25 000 000  Rwf,4.0,2.0,,,,,
232,Kabuga, sqm,19 000 000  Rwf,4.0,3.0,,Yes,,,
233,Kibagabaga,944 sqm,82 000 000  Rwf,4.0,3.0,,,,,
234,Kabeza,30/25 m,53 000 000  Rwf,,1.0,,,,Yes,Yes
235,Kimironko,25/30 m,50 000 000  Rwf,,1.0,,,,Yes,Yes
236,Kibagabaga,20/25 m,100 000 000  Rwf,4.0,3.0,,,,Yes,Yes
237,Kimironko,20/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
238,Kimironko, sqm,55 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
239,Niboyi,30/20 m,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
240,Gikondo,30/40 m,200 000 000  Rwf,8.0,6.0,,,,,
241,Gisozi, sqm,120 000 000  Rwf,5.0,4.0,,Yes,,,
242,Gisozi,30/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
243,Kanombe,20/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
244,Kabeza, sqm,50 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
245,Remera,25/25 m,90 000 000  Rwf,4.0,3.0,,,,Yes,Yes
246,,35/30 m,75 000 000  Rwf,4.0,3.0,,,,Yes,Yes
247,Gacuriro,35/30 m,150 000 000  Rwf,4.0,3.0,,,,Yes,Yes
248,Kanombe,520 sqm,45 000 000  Rwf,4.0,3.0,Yes,,,Yes,Yes
249,Niboyi, sqm,45 000 000  Rwf,4.0,2.0,,Yes,,Yes,Yes
250,Masaka, sqm,30 000 000  Rwf,,,,,,,
251,Kibagabaga,30/20 m,65 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
252,Gikondo,20/30 m,55 000 000  Rwf,4.0,3.0,,,,,
253,Gacuriro,30/25 m,130 000 000  Rwf,4.0,4.0,,,,Yes,Yes
254,Kicukiro, sqm,80 000 000  Rwf,4.0,3.0,,Yes,,,Yes
255,Kibagabaga, sqm,70 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
256,Rebero, sqm,45 000 000  Rwf,,,,,,,
257,Gikondo, sqm,45 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
258,Gahanga, sqm,25 000 000  Rwf,4.0,3.0,,Yes,,,
259,,20/30 m,25 000 000  Rwf,4.0,2.0,,,,Yes,
260,Kagarama,25/30 m,70 000 000  Rwf,4.0,2.0,,,,Yes,Yes
261,Kanombe,25/30 m,45 000 000  Rwf,4.0,3.0,,,,Yes,Yes
262,Kanombe,30/20 m,47 000 000  Rwf,4.0,3.0,,,,Yes,Yes
263,Kagarama,750 sqm,80 000 000  Rwf,4.0,3.0,,,,,
264,,30/20 m,55 000 000  Rwf,4.0,3.0,,Yes,,Yes,Yes
265,Kabeza,25/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
266,Gacuriro,600 sqm,80 000 000  Rwf,4.0,3.0,,,Yes,,Yes
267,Gisozi,20/30 m,55 000 000  Rwf,4.0,3.0,,,,,
268,Kimironko,25/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
269,Gikondo,20/30 m,35 000 000  Rwf,4.0,3.0,,,,,
270,Gacuriro, sqm,75 000 000  Rwf,4.0,3.0,,,,,
271,Kibagaba,20/30 m,110 000 000  Rwf,4.0,3.0,,,,Yes,Yes
272,Kabuga,20/30 m,35 000 000  Rwf,4.0,3.0,,,,,
273,Gacuriro,30/30 m,130 000 000  Rwf,5.0,5.0,,,,Yes,Yes
274,Gacuriro, sqm,95 000 000  Rwf,4.0,3.0,,,,Yes,
275,Kimironko, sqm,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
276,Kibagababa,25/20 m,55 000 000  Rwf,4.0,2.0,,,,,Yes
277,Kibagabaga, sqm,130 000 000  Rwf,5.0,4.0,,Yes,,Yes,
278,Kanombe,25/20 m,50 000 000  Rwf,,1.0,,,,Yes,Yes
279,Kanombe, sqm,58 000 000  Rwf,4.0,3.0,Yes,,,Yes,Yes
280,Gacuriro,25/30 m,130 000 000  Rwf,4.0,3.0,,,,Yes,Yes
281,Kanombe,600 sqm,46 000 000  Rwf,4.0,1.0,,,,,Yes
282,Kimironko,25/30 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
283,, sqm,75 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
284,Kicukiro,20/30 m,85 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
285,,30/20 m,60 000 000  Rwf,5.0,3.0,,,,Yes,Yes
286,Kibagabaga,25/30 m,110 000 000  Rwf,4.0,4.0,,,,Yes,Yes
287,Kabeza,20/20 m,40 000 000  Rwf,4.0,2.0,,,,,
288,Kibagabaga, sqm,130 000 000  Rwf,4.0,3.0,,Yes,Yes,Yes,Yes
289,,20/30 m,25 000 000  Rwf,4.0,2.0,,,,Yes,
290,Nyarutarama, sqm,152 000 000  Rwf,,1.0,,,Yes,Yes,
291,Kimironko,20/25 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
292,Nyamirambo,20/30 m,27 000 000  Rwf,4.0,3.0,,,,,
293,Gisozi, sqm,25 000 000  Rwf,4.0,1.0,Yes,Yes,Yes,Yes,Yes
294,Kibagabaga,25/35 m,130 000 000  Rwf,5.0,1.0,,,,Yes,Yes
295,Kibagabaga,25/30 m,120 000 000  Rwf,4.0,4.0,,,,Yes,Yes
296,Kanombe,25/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
297,Kacyiru, sqm,12 000 000  Rwf,4.0,3.0,,Yes,,,
298,Kanombe,20/30 m,13 000 000  Rwf,3.0,0.0,,,,Yes,Yes
299,Kanombe,20/30 m,50 000 000  Rwf,4.0,3.0,,,,,
300,Masaka, sqm,22 000 000  Rwf,,,,,,,
301,Karumuna, sqm,52 000 000  Rwf,4.0,3.0,,Yes,,Yes,
302,Kimironko,20/30 m,150 000 000  Rwf,5.0,4.0,,,,Yes,Yes
303,Kibagabaga,28/30 m,120 000 000  Rwf,4.0,3.0,,,,Yes,Yes
304,Rebero, sqm,65 000 000  Rwf,4.0,4.0,,Yes,,,
305,Kimironko,30/20 m,80 000 000  Rwf,3.0,2.0,,,,,Yes
306,Kimironko,30/25 m,80 000 000  Rwf,4.0,3.0,Yes,,,Yes,Yes
307,Kibagabaga,25/30 m,85 000 000  Rwf,4.0,3.0,,,,Yes,Yes
308,Kanombe,20/25 m,70 000 000  Rwf,5.0,3.0,Yes,,,Yes,Yes
309,Kibagabaga, sqm,1 500 000 000  Rwf,7.0,4.0,,,,Yes,Yes
310,Kanombe, sqm,52 000 000  Rwf,4.0,3.0,,Yes,,,
311,Kanombe,25/30 m,45 000 000  Rwf,,1.0,,,,Yes,Yes
312,Kibagabaga,25/20 m,25 000 000  Rwf,4.0,0.0,,,,Yes,Yes
313,Gacuriro,30/20 m,50 000 000  Rwf,4.0,1.0,Yes,Yes,Yes,Yes,
314,Kabeza, sqm,57 000 000  Rwf,4.0,3.0,,Yes,,,
315,Gisozi, sqm,75 000 000  Rwf,4.0,3.0,,Yes,,,
316,,22/25 m,50 000 000  Rwf,4.0,3.0,,,,Yes,
317,Jali,25/30 m,85 000 000  Rwf,5.0,4.0,Yes,Yes,Yes,Yes,
318,Kicukiro, sqm,100 000 000  Rwf,4.0,3.0,,,,Yes,Yes
319,, sqm,20 000 000  Rwf,3.0,2.0,,,,,
320,Kicukiro,25/30 m,75 000 000  Rwf,4.0,3.0,,,,Yes,Yes
321,Kanombe,20/25 m,40 000 000  Rwf,4.0,2.0,,,,Yes,Yes
322,Kimironko, sqm,25 000 000  Rwf,4.0,3.0,,Yes,,,
323,Gacuriro,20/30 m,85 000 000  Rwf,4.0,3.0,,,,,Yes
324,, sqm,55 000 000  Rwf,4.0,2.0,,,,Yes,
325,Masaka,25/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
326,Kanombe,25/20 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
327,Ndera,999 sqm,218 000 000  Rwf,,,,,,,Yes
328,,25/30 m,55 000 000  Rwf,,,,,,,
