Number,  Location,  Area,  Price,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
1719,Kanombe,500 sqm,39 000 000  Rwf,4.0,3.0,,,,,
1720,Kanombe, sqm,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1721,,30/30 m,15 000 000  Rwf,3.0,1.0,,,,,
1722,Kibagabaga, sqm,160 000 000  Rwf,,,,,,,
1723,Nyamirambo, sqm,38 000 000  Rwf,4.0,2.0,,,,Yes,
1724,Kanombe, sqm,48 000 000  Rwf,4.0,3.0,,,,,
1725,Kimironko,30/25 m,130 000 000  Rwf,6.0,4.0,Yes,,,Yes,Yes
1726,Kanombe,15/20 m,30 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
1727,Kicukiro,20/30 m,95 000 000  Rwf,5.0,4.0,Yes,,,Yes,Yes
1728,Zindiro, sqm,70 000 000  Rwf,,3.0,Yes,,,Yes,Yes
1729,Kibagabaga, sqm, 1 000 $,4.0,3.0,Yes,Yes,Yes,Yes,Yes
1730,Gikondo, sqm,45 000 000  Rwf,4.0,3.0,,Yes,,,
1731,Gisozi,400 sqm,21 000 000  Rwf,3.0,1.0,,,,,Yes
1732,Belge, sqm,34 000 000  Rwf,4.0,2.0,,Yes,,,
1733,Kimironko,30/30 m,35 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1734,Kanombe,25/25 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1735,Kanombe,25/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1736,Kibagabaga,25/20 m,100 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
1737,Kanombe, sqm,60 000 000  Rwf,4.0,3.0,,Yes,,,
1738,Kabeza,25/30 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1739,Kagarama, sqm,50 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
1740,Kanombe, sqm, 63 000 $,,,,,,,
1741,Gacuriro,27/30 m,130 000 000  Rwf,5.0,5.0,,,,Yes,Yes
1742,Kibagabaga, sqm,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1743,Kimironko,25/25 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1744,Kicukiro,20/30 m,85 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
1745,Gikondo,25/30 m,60 000 000  Rwf,,1.0,,,,Yes,Yes
1746,Gisozi,40 sqm,54 000 000  Rwf,,3.0,,,,Yes,
1747,Kimironko, sqm,160 000 000  Rwf,5.0,4.0,,,,,Yes
1748,Remera, sqm,80 000 000  Rwf,4.0,3.0,,,,Yes,Yes
